source_url	parsed_url
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/fox-co-host-attacks-michigan-governor-criticizing-swastikas-social-distancing
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/sean-hannity-attacks-coronavirus-mitigation-efforts-says-americans-have-had-it-stay
https://www.mediamatters.org/	https://www.mediamatters.org/newsmax/newsmax-host-wayne-allyn-root-endorses-scammy-silver-product-which-can-supposedly-kill
https://www.mediamatters.org/	https://www.mediamatters.org/
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/foxs-geraldo-rivera-its-very-dishonest-interrupt-trumps-coronavirus-press-briefings
https://www.mediamatters.org/	https://fonts.googleapis.com/css?family=Barlow:400,400i,600,600i,700,700i
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/federalist-suggests-controlled-voluntary-infection-latest-example-its-reckless
https://www.mediamatters.org/	https://www.mediamatters.org/#facebook
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/broadcast-networks-and-major-newspapers-continue-ignore-trumps-firing-pandemic
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/pro-trump-pundits-embrace-ever-shifting-narrative-goalposts-pandemic
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/essential-reporting-details-barriers-and-need-abortion-access-during
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/rush-limbaugh-cheers-mass-protests-against-social-distancing-it-isnt-bad-they
https://www.mediamatters.org/	https://www.facebook.com/Mediamatters/
https://www.mediamatters.org/	https://www.mediamatters.org/kayleigh-mcenany/what-you-need-know-about-new-trump-press-secretary-kayleigh-mcenany
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_Y_HuhuqbilRQ8NJhvw8r2pvmAMpBClYWIVrDcMMIuiw.css?q8ufv0
https://www.mediamatters.org/	https://www.mediamatters.org/news-analysis
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/trump-tweets-praise-right-wing-protests-against-social-distancing-measures
https://www.mediamatters.org/	https://www.mediamatters.org/privacy
https://www.mediamatters.org/	https://www.mediamatters.org/#twitter
https://www.mediamatters.org/	https://www.mediamatters.org/national-rifle-association/nra-board-member-shares-extremist-militia-branded-meme-blames-shootings
https://www.mediamatters.org/	https://www.mediamatters.org/guns-public-safety
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/bill-gates-coronavirus-conspiracy-theory-spread-social-media-and-then-fox-news
https://www.mediamatters.org/	https://www.mediamatters.org/abortion-rights-and-reproductive-health
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/under-fire-botched-response-coronavirus-trump-tried-blame-obama-ny-times
https://www.mediamatters.org/	https://www.mediamatters.org/audio-video
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/major-flaw-foxs-argument-about-coronavirus-death-projections
https://www.mediamatters.org/	https://www.mediamatters.org/about
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/newsmax-telling-its-older-leaning-audience-avoid-future-coronavirus-vaccine
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-worried-about-legal-action-after-misleading-viewers-about-coronavirus
https://www.mediamatters.org/	https://www.instagram.com/mediamattersforamerica/
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/daily-wire-and-western-journal-use-facebook-page-networks-spread-right-wing
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/nothing-has-changed-fox-network-cut-ties-trish-regan
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/fox-senior-vp-wishes-good-luck-california-protest-against-social-distancing
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/defending-protests-against-social-distancing-tucker-carlson-takes-democratic
https://www.mediamatters.org/	https://www.mediamatters.org/corrections
https://www.mediamatters.org/	https://www.mediamatters.org/terms-conditions
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/fox-news-coronavirus-coverage-stands-stark-contrast-its-coverage-ebola-2014
https://www.mediamatters.org/	https://www.mediamatters.org/themes/custom/mmfa_theme/favicon.ico
https://www.mediamatters.org/	https://www.mediamatters.org/#tumblr
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/these-are-fox-news-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/studies
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/broadcast-and-cable-news-are-ignoring-brazen-big-polluter-agenda-happening
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/alex-jones-wont-stop-suggesting-supplements-he-sells-provide-benefit-against
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/during-covid-19-pandemic-fox-news-prioritizes-dishonest-anti-abortion-attacks
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/comprehensive-guide-foxs-promotion-hydroxychloroquine-and-chloroquine
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/pro-trump-media-have-ramped-attacks-against-dr-anthony-fauci
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/trump-coronavirus-video-lifted-part-hannitys-fox-news-show
https://www.mediamatters.org/	https://action.mediamatters.org/secure/donate
https://www.mediamatters.org/	https://www.mediamatters.org/climate-energy
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/american-family-association-lying-about-coronavirus-radio-network
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/pro-trump-oan-pushes-wild-conspiracy-theory-novel-coronavirus-was-created
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/oan-host-i-wish-trump-had-authority-over-blue-state-governors
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/trump-repeats-lie-sean-hannity-about-obama-and-h1n1-flu
https://www.mediamatters.org/	https://www.mediamatters.org/qanon-conspiracy-theory/here-are-qanon-supporters-running-congress-2020
https://www.mediamatters.org/	https://www.mediamatters.org/cnn/it-categorically-wrong-blame-mental-illness-mass-shootings-heres-why
https://www.mediamatters.org/	https://www.mediamatters.org/#instagram
https://www.mediamatters.org/	https://www.mediamatters.org/homepage
https://www.mediamatters.org/	https://twitter.com/mmfa
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/foxs-jeanine-pirro-praises-michigan-protests-against-covid-mitigation-efforts
